label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,K,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier,i2_drop,i3_random_drop_mean,i4_drop,specificity_ratio_i2_over_i3
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,post_all,38000,0.9954245090484619,10,0.9954245043213015,0.9938993390950687,0.003050330452465684,0.9947127605490597,0.00040671072699542953,0.9944126831703786,"21,9,24,7,19,4,1,6,18,14",0.020335536349771224,0.9923741738688358,0.000711743772241813,0.9750889679715302,1394.2857142860666
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,pre_known_events,11000,0.09150991588830948,1,0.09150991357397051,0.061514997458057954,0.04931367564819522,0.08917132689374682,0.0008260333914220597,0.11119649766314425,19,0.02592780884595831,0.04219623792577529,0.0023385866802236865,0.0655821047280122,18.0434782608696
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,pre_known_events,11000,0.09150991588830948,3,0.09150991357397051,0.3177427554651754,0.01677681748856126,0.09771225216065073,0.005257827544015415,0.27689590434292133,"19,3,14",0.02541942043721403,0.07473309608540925,-0.00620233858668022,0.06609049313675648,-12.049180327868859
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,pre_known_events,11000,0.09150991588830948,5,0.09150991357397051,0.3543467208947636,0.00813421453990849,0.1177427554651754,0.0059427104000823435,0.40477045363461883,"19,3,14,23,6",0.020843924758515507,0.08337569903406201,-0.026232841891204894,0.070665988815455,-3.178294573643409
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,pre_known_events,11000,0.09150991588830948,10,0.09150991357397051,0.32079308591764105,0.0020335536349771225,0.19755973563802748,0.009739851562646095,0.6137061532514627,"19,3,14,23,6,7,24,25,12,4",0.02338586680223691,0.08947635993899339,-0.10604982206405697,0.0681240467717336,-0.8437200383509106
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,between_gen_F_partial,25000,0.8998475074768066,1,0.8998474834773768,0.06507371631926792,0.7620742247076767,0.8863243518047789,0.00399788576539653,0.17594661667272132,24,0.020843924758515507,0.13777325876970004,0.013523131672597888,0.8790035587188613,10.18796992481201
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,between_gen_F_partial,25000,0.8998475074768066,3,0.8998474834773768,0.43924758515505846,0.4107778342653787,0.8695475343162176,0.00793216262932061,0.49370061358904854,"24,7,19",0.019318759532282664,0.489069649211998,0.03029994916115919,0.8805287239450941,16.140939597315406
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,between_gen_F_partial,25000,0.8998475074768066,5,0.8998474834773768,0.8373157092018302,0.11947127605490594,0.875749872902898,0.005424292290126745,0.7111222353542065,"24,7,19,3,14",0.017793594306049824,0.7803762074224708,0.02409761057447879,0.8820538891713269,32.38396624472589
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,between_gen_F_partial,25000,0.8998475074768066,10,0.8998474834773768,0.9298423995932893,0.0071174377224199285,0.9189628876461617,0.0017786330131709272,0.97108148101526,"24,7,19,3,14,23,25,13,8,1",0.01728520589730554,0.8927300457549568,-0.01911540416878499,0.8825622775800712,-46.70212765957438
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,post_known_events,31000,1.0,1,1.0,0.170310116929334,0.9969496695475343,0.9998983223182512,0.0002033553634976926,0.21294577373681944,19,0.02440264361972547,0.0030503304524657215,0.00010167768174884628,0.9755973563802746,30.000000000003276
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,post_known_events,31000,1.0,3,1.0,0.9064565327910523,0.9354346720894764,0.9995932892730046,0.0003804430489856563,0.5216727524809234,"19,24,7",0.022369089984748347,0.0645653279105236,0.00040671072699538513,0.9776309100152516,158.7500000000153
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,post_known_events,31000,1.0,5,1.0,0.9994916115912558,0.4875444839857651,0.9996949669547535,0.000406710726995424,0.7629105862544195,"19,24,7,25,23",0.02491103202846975,0.5124555160142349,0.00030503304524653885,0.9750889679715302,1680.0000000001628
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,post_known_events,31000,1.0,10,1.0,1.0,0.0010167768174885613,1.0,0.0,0.993570260835911,"19,24,7,25,23,3,14,13,8,15",0.018810371123538384,0.9989832231825114,0.0,0.9811896288764617,inf
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,pre_known_events,4000,0.06354855000972748,1,0.06354855109303507,0.02389425521098119,0.059481443823080835,0.06436197254702594,0.0020986037051906772,0.05325978973991872,5,0.04829689883070666,0.00406710726995424,-0.0008134214539908674,0.015251652262328413,-4.999999999999881
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,pre_known_events,4000,0.06354855000972748,3,0.06354855109303507,0.031011692933401117,0.062023385866802234,0.06212506354855109,0.002519473653963166,0.15505454545704775,"5,11,18",0.05083884087442806,0.00152516522623284,0.0014234875444839867,0.012709710218607013,1.0714285714285694
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,pre_known_events,4000,0.06354855000972748,5,0.06354855109303507,0.058973055414336555,0.06354855109303507,0.06161667513980682,0.0017434090695965681,0.2461501451470615,"5,11,18,26,23",0.045246568378240974,0.0,0.0019318759532282528,0.0183019827147941,0.0
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,pre_known_events,4000,0.06354855000972748,10,0.06354855109303507,0.06456532791052363,0.062023385866802234,0.06253177427554653,0.0022507314307248275,0.4539826416584288,"5,11,18,26,23,24,7,21,13,9",0.04829689883070666,0.00152516522623284,0.001016776817488546,0.015251652262328413,1.5000000000000204
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,between_gen_F_partial,11000,0.9755973815917969,1,0.9755973563802746,0.04016268429079817,0.9750889679715302,0.9666497203863752,0.006114202899185749,0.04724197137054171,9,0.1235383833248602,0.0005083884087443424,0.008947635993899361,0.8520589730554143,0.05681818181818859
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,between_gen_F_partial,11000,0.9755973815917969,3,0.9755973563802746,0.12201321809862735,0.9501779359430605,0.9496695475343161,0.012323569924657402,0.13562927462577595,"9,26,1",0.07727503812913065,0.025419420437214013,0.025927808845958467,0.898322318251144,0.9803921568627385
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,between_gen_F_partial,11000,0.9755973815917969,5,0.9755973563802746,0.16370106761565836,0.9313675648195221,0.8831723436705643,0.011907146809596246,0.2193965989631264,"9,26,1,24,11",0.07066598881545501,0.04422979156075246,0.09242501270971026,0.9049313675648195,0.47854785478547884
