label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,site,K,ctrl_mode,top_harmonics,base_acc,acc_ablate_fourier,acc_random_ctrl_mean,acc_random_ctrl_std,frac_energy_removed
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,mlp_L0,3,dim,"18,14,23",0.7976614133197764,0.042196237925775294,0.032231825114387394,0.0030604813306136076,0.16352128183905387
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,attn_L1,3,dim,"6,12,10",0.7976614133197764,0.0945602440264362,0.6394509405185562,0.005178579187899079,0.666435364253647
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,mlp_L1,3,dim,"10,5,24",0.7976614133197764,0.08439247585155059,0.5184544992374173,0.010494988860873742,0.5406258256706774
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,resid_final,3,dim,"12,10,6",0.7976614133197764,0.1362480935434672,0.7489578037620742,0.0036005960771989484,0.39605273097806143
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_circ_F,10000,0.9984748363494873,embed,3,dim,"3,14,18",0.9984748347737672,0.7513980681240467,0.5467208947635994,0.004473817996949681,0.1844288422728224
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_circ_F,10000,0.9984748363494873,attn_L0,3,dim,"3,14,6",0.9984748347737672,0.684799186578546,0.9980681240467717,0.0004981168770275834,0.9412424083445934
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_circ_F,10000,0.9984748363494873,mlp_L0,3,dim,"3,14,23",0.9984748347737672,0.44026436197254704,0.4755465175394001,0.006322030119658289,0.19552096475509376
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_circ_F,10000,0.9984748363494873,attn_L1,3,dim,"12,6,5",0.9984748347737672,0.3162175902389425,0.9480427046263346,0.00464167248012743,0.5974483978965368
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_circ_F,10000,0.9984748363494873,mlp_L1,3,dim,"12,5,24",0.9984748347737672,0.47330960854092524,0.9874936451448907,0.0024189887653015478,0.663913558906048
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_circ_F,10000,0.9984748363494873,resid_final,3,dim,"3,6,10",0.9984748347737672,0.4799186578546009,0.97600406710727,0.003332174805932659,0.5113111831943926
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,post_all,13500,1.0,embed,3,dim,"3,14,23",1.0,0.7951194712760549,0.5952211489578036,0.009293362360764498,0.2667622491760971
